FID,osm_id,code,fclass,name,shape@x,shape@y
1354,"10959671253",3800,sikh,GURUDHWAWA,75.8592069000,22.7063701000
1273,"10815868008",3500,hindu,Mangeshi mandir,75.8626924000,22.7216495000
1510,"11690469348",3500,hindu,kalbheru mandir,76.6877247000,25.6729172000
1855,"12194340197",3500,hindu,Baba Mahakal Mandir,78.6382021000,24.0298475000
1567,"11693461395",3500,hindu,shri todi ganesh,76.6940600000,25.6636624000
1842,"12189790704",3500,hindu,Shri Karsna Baldau  Mandir,78.6853647000,23.9672801000
762,"7361864363",3500,hindu,Shri Dadaji Darbar Khandwa,76.3337707000,21.8185260000
1834,"12188179368",3500,hindu,Shri Angadh Devi Gufa Mandir,78.7161209000,23.9168533000
459,"5003725413",3500,hindu,Ram Mandir,78.6392730000,25.3508229000
1750,"12153211642",3500,hindu,Vidyasagar Medical Store,78.7331041000,23.8303945000
1270,"10807015608",3100,christian,,79.5501465000,22.0919428000
1624,"11721812163",3500,hindu,Bajrangbali Temple,78.3571694000,22.7540642000
1672,"12013370226",3500,hindu,Ram Hanuman Mandir,77.4104107000,23.1830962000
1792,"12174198171",3500,hindu,Triveni Mandir Khimlasa,78.3621934000,24.2082231000
1714,"12105623625",3500,hindu,SHRI  Ram Karpa DHam,78.5876157000,23.6729847000
1647,"11796145009",3500,hindu,Hanuman Temple,78.3563423000,22.7242876000
1493,"11690375134",3500,hindu,,75.8305187000,22.6827229000
1729,"12108203476",3500,hindu,Vihari Ji Mandir,78.6165612000,23.7573020000
1463,"11618785103",3500,hindu,Mahadev Mandir,79.8849846000,23.1629174000
470,"5193576481",3500,hindu,Zulelal Mandir,75.8381087000,22.6907453000
1863,"12203639858",3500,hindu,Mahakal Dham Khejra Darbar,78.6073488000,24.1182216000
1516,"11690576039",3500,hindu,gupteswar mahadev,76.7022794000,25.6547555000
1841,"12189773125",3500,hindu,Baldau Ji Mandir,78.6863824000,23.9608224000
1468,"11637505848",3400,buddhist,Sai Mandir,80.3519033000,22.4537358000
1914,"12539495610",3500,hindu,Shri Maa Mahakali Siddh Shaktipeeth,78.7298930000,23.8379799000
1607,"11698820946",3500,hindu,"Hanuman Temple, Raikhedi",78.3754311000,22.7318723000
789,"7724667593",3100,christian,Methodist church,80.5492537000,22.1016752000
1854,"12194270801",3500,hindu,Shiv Mandir,78.6559916000,23.9930424000
1632,"11738092293",3500,hindu,Jatashankar Temple,78.4413733000,22.4817364000
434,"4866877972",3500,hindu,Shiva Temple,75.7917686000,22.6260925000
1503,"11690469321",3500,hindu,,76.6996856000,25.6805926000
1867,"12210699782",3500,hindu,Jai Baba Barfani,78.5831801000,24.2134633000
1776,"12167977010",3500,hindu,Shani Mandir,78.2079944000,24.1929621000
1692,"12098323691",3500,hindu,Hanuman Mandir,78.7603326000,23.7592909000
1629,"11729957309",3500,hindu,Ancient Khedapati Temple,78.4211002000,22.4605564000
1778,"12168052617",3500,hindu,Karash Dev Mandir,78.2091023000,24.1943609000
1687,"12086992075",3500,hindu,Sree Siddh Baba Neem Ghati,78.9715876000,23.4868137000
404,"4706552469",3300,muslim,Nazarbag Dargah,78.8341926000,24.7452571000
389,"4695086685",3500,hindu,Sri Ram Mandir,75.8496607000,22.7110102000
427,"4792262111",3500,hindu,Shri Batukeshwar Mahadev Temple,77.4542855000,23.2795529000
1490,"11690375115",3500,hindu,Gopur Mandir,75.8310913000,22.6850922000
1357,"10959759739",3500,hindu,,75.8588337000,22.7051951000
805,"7799242031",3500,hindu,Brahmakumari Ashram and Meditation,80.8429592000,24.5682660000
1628,"11728220237",3500,hindu,Mahadev Mandir,78.4459437000,22.4817773000
711,"7127652200",3500,hindu,Shri Yantra Temples,81.7600479000,22.6664196000
1703,"12100639765",3500,hindu,KherMata  Mandir,78.6415382000,23.6549450000
1467,"11637358441",3400,buddhist,Hanuman-Tempel Khairlanji,80.4585413000,22.2541067000
783,"7644984841",3500,hindu,Maa Chamunda Mandir,75.0841357000,22.2351175000
626,"6346780896",3500,hindu,Sai Temple,75.9047705000,22.7704657000
1262,"10794700809",3500,hindu,Bandhavgarh Laxman Temple,81.0377373000,23.6851607000
193,"3676071728",3500,hindu,Hanuman Mandir,75.1424217000,24.4771830000
1695,"12100101639",3500,hindu,Siv Mandir BHatoua,78.7095687000,23.7248858000
1498,"11690381781",3500,hindu,Shri Shri Kali Mandir,75.8765292000,22.7048787000
1913,"12526404664",3500,hindu,Achleshwar Mandir,78.1647581000,26.1986402000
56,"1802109236",3800,sikh,Gurudwara,75.8904244000,22.7354438000
1826,"12188107048",3500,hindu,Sankar Ji Mandir,78.7409298000,23.8795967000
1221,"10294924230",3100,christian,,76.1940425000,22.5272444000
1636,"11743516949",3500,hindu,Sri Chintaharan Hanuman Temple,78.3551687000,22.7530336000
1851,"12194193694",3100,christian,Shri  Shri 1008 Shri Parsbnth Digambar Mandir,78.6584121000,23.9867562000
1061,"8999473960",3500,hindu,,75.9241342000,22.7620194000
1828,"12188126789",3500,hindu,Maa Bijasen Mandir,78.7449749000,23.8824077000
1813,"12176111067",3500,hindu,Sai Mandir,78.7390505000,23.8538570000
1764,"12159412108",3500,hindu,Hanuman Mandir,78.4019706000,24.0023787000
524,"5474639534",3500,hindu,Jay Shiv Mandir,77.3412159000,23.2680468000
420,"4762888327",3500,hindu,,80.8532111000,25.1713832000
299,"4313126510",3500,hindu,Shree Ram-Krishna Temple,79.6036121000,22.6028442000
781,"7644984838",3500,hindu,Jageshwar Mandir,75.0930711000,22.2370843000
707,"7125699073",3500,hindu,Hanuman temple,80.3690668000,22.5883605000
995,"8540868495",3500,hindu,,75.5863915000,22.1769368000
1802,"12174763046",3500,hindu,Hanuman Mandir Dhangar,78.3314343000,24.0901241000
1148,"9809132294",3300,muslim,Sunni Jama Masjid Tirodi,79.7281808000,21.6837379000
1784,"12172283240",3500,hindu,Basahari Sive Mandir,78.3043629000,24.2237396000
1875,"12277786032",3500,hindu,Shiv Temple,78.3550227000,22.7425428000
1808,"12174838645",3500,hindu,Siv ( Bholenath  ) Mandir,78.3376909000,24.0665478000
599,"6046346606",3500,hindu,Shri Swaminarayan Temple,75.8785729000,22.6775032000
315,"4430329085",3500,hindu,Temple,78.5264593000,21.5917365000
70,"2092538654",3500,hindu,Hanuman Statue,79.9227156000,24.8522410000
1779,"12168075929",3500,hindu,Moti Mandir,78.1962743000,24.1819260000
1552,"11691267266",3500,hindu,Bhole Bawa mandir,78.7848875000,23.8535112000
1870,"12211356427",3500,hindu,Hanuman Mandir Palrethni,78.5705327000,24.2405833000
1458,"11580628730",3500,hindu,"Temple of Lord Shiva, Lord Shani, Sai Baba, and Hanuman",78.3510211000,22.7607805000
514,"5376039832",3300,muslim,Gulzar colony masjid (mosque),75.8545928000,22.6969466000
641,"6562631977",3300,muslim,Sikandar bazaar maszid,76.7217412000,23.0179336000
1676,"12055337018",3500,hindu,Tikitoriya devi Temple,79.0845711000,23.6093338000
587,"5907804643",3107,christian_protestant,E.L. Church Padhar,77.8635677000,22.0537145000
1839,"12189744356",3500,hindu,Hanuman Ji ka  mandir,78.6775292000,23.9585119000
1715,"12107502090",3500,hindu,Hanuman Mandir,78.5641340000,23.6830489000
506,"5327361836",3500,hindu,Jain MAndir,77.2741609000,22.6868053000
408,"4709535873",3500,hindu,shri Chinta Haran Hanuman Temple,77.6693686000,25.4215909000
521,"5469001921",3800,sikh,Gurudwara Data Bandi Chhor Sahib,78.1671103000,26.2203773000
1836,"12189708231",3500,hindu,Ram Janki Mandir,78.6803317000,23.9403327000
