FID,osm_id,code,fclass,name
1816,"12176435714",3500,hindu,Maha-Kali Mandir Sagar
1190,"9880909377",3500,hindu,
235,"3787513308",3300,muslim,Sah Ali shah  upper lake
1752,"12153649184",3500,hindu,Hanuman And
1815,"12176191042",3500,hindu,Durga Temple
1035,"8906592757",3500,hindu,Shani Mandir
1496,"11690381774",3100,christian,Holy Spirit Church
1638,"11753394731",3500,hindu,Chauragarh Temple
1263,"10794700810",3500,hindu,Kabir Gufa Mandir
1787,"12172354339",3500,hindu,Hanuman Mandir
1790,"12172508469",3500,hindu,Ma Beejasain  Mandir
1711,"12102562489",3500,hindu,Siv  Mandir
1509,"11690469345",3500,hindu,mandir
1737,"12145028370",3500,hindu,Mata Ka Mandir
505,"5327315471",3500,hindu,Gayatri Mandir
1479,"11676534820",3500,hindu,Shiv Mandir
1860,"12201235799",3500,hindu,Rammandir Bandri
308,"4412605894",3500,hindu,Chandika Mata Mandir Pandhurna
1454,"11568481723",3500,hindu,Nakkhi Mata Mandir Bakori
1824,"12188085790",3500,hindu,Kher Mata Mandir
1705,"12101791730",3500,hindu,Shiv Mandir Bade Mahadev
1679,"12072425927",3500,hindu,Ramakrishna Mission Ashrama
267,"3911296577",3500,hindu,
387,"4695072632",3500,hindu,sai mandir
1753,"12153704299",3500,hindu,Sidhh Hanuman Ji Mandir
1508,"11690469340",3500,hindu,hanuman mandir
1809,"12176022468",3500,hindu,Shri Bhagvan Vishwakarma Mandir
1222,"10310236725",3500,hindu,
1353,"10959671248",3500,hindu,KESARI
1864,"12204763848",3500,hindu,Hanuman Mandir
1100,"9466750696",3800,sikh,
542,"5557071409",3500,hindu,Shiv Temple
507,"5327361837",3300,muslim,Mohammadi Masjid
1515,"11690576037",3500,hindu,sati mata mandir
503,"5323711421",3500,hindu,Maa Baglamukhi Temple
390,"4695139606",3500,hindu,sai baba mandir
1832,"12188175551",3500,hindu,Kher Mata Devi Mandir
17,"1109077069",3500,hindu,Lakshmi-Narayan Temple
1700,"12100501330",3500,hindu,Ma Beejasain Mata Mandir
1693,"12100007287",3500,hindu,Shree Ramraja Sarkar RAj Mandir Hanota  Sagar
1775,"12167947889",3500,hindu,Katra Mandir
1746,"12153163990",3500,hindu,Shri Dev Ram Bagh Mandir
314,"4427831102",3500,hindu,Ramdeobaba Mandir
360,"4576929574",3500,hindu,Gita bhawan
702,"7111629877",3800,sikh,Gwarighat Gurudwara
1793,"12174243611",3500,hindu,Dev Ghar Mandir
1727,"12108020346",3500,hindu,Padrai Sarkar Mandir
26,"1124758866",3400,buddhist,Western Gate
1215,"10239634771",3500,hindu,
1766,"12159444360",3500,hindu,Shree Dev Hanuman mandr ji Silodha
1742,"12151481468",3500,hindu,Shanidev Mandir
1625,"11728150385",3500,hindu,Hanuman Temple
1272,"10814239217",3500,hindu,बडा गणेश मंदिर
1640,"11763373802",3500,hindu,Durga Mata Temple
1697,"12100430967",3500,hindu,Shree Ram Janki Mandir
1492,"11690375122",3500,hindu,Chintaman Ganesh Mandir
1255,"10755467761",3500,hindu,Laatpaat baba
1060,"8999433625",3500,hindu,
1439,"11506563704",3500,hindu,
1446,"11541239508",3500,hindu,
997,"8562846987",3500,hindu,Sankat Mochan Temple
467,"5182045773",3500,hindu,Shankar Mandir
779,"7594832178",3500,hindu,Hanuman temple
1491,"11690375121",3500,hindu,Shri Sankat Mochan Hanuman Mandir
640,"6562503893",3500,hindu,Ganesh Mandir
1856,"12194345983",3500,hindu,Mata Gaytri  Mandir Bandri
1214,"10239608194",3500,hindu,
528,"5474726797",3500,hindu,Kalka Mandir
1470,"11642707016",3500,hindu,Panchmukhi Hanuman Ji Temple
1570,"11693461402",3500,hindu,shri radha  rani mandir
1765,"12159443511",3500,hindu,Mahakal Mandir
1805,"12174771020",3500,hindu,Siv Mandir
1034,"8905318166",3500,hindu,Shiv Mandir
1822,"12188056393",3500,hindu,Mata Tempie
1749,"12153199973",3500,hindu,Shree Gulab Baba Mandir Sagar
